job,marital,education,default,age,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
blue-collar,married,unknown,no,60,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
entrepreneur,divorced,secondary,no,57,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
management,married,tertiary,no,36,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
blue-collar,married,secondary,no,55,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
retired,married,tertiary,no,60,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no
technician,married,secondary,no,39,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
management,married,tertiary,no,46,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
blue-collar,married,secondary,no,44,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no
blue-collar,married,primary,no,53,90,no,no,unknown,5,may,124,1,-1,0,unknown,no
blue-collar,married,primary,no,52,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
blue-collar,married,primary,no,59,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
technician,single,tertiary,no,27,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
blue-collar,married,secondary,no,44,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no
technician,married,tertiary,no,47,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
admin.,married,secondary,no,34,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
retired,single,secondary,no,59,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no
management,married,tertiary,no,45,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
services,divorced,secondary,no,29,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no
technician,divorced,secondary,no,46,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
self-employed,married,primary,no,56,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no
blue-collar,married,primary,no,36,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
retired,divorced,primary,no,59,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no
blue-collar,married,secondary,no,44,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
admin.,married,secondary,no,41,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
management,single,tertiary,no,33,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no
management,divorced,tertiary,no,59,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
technician,married,primary,no,57,0,no,no,unknown,5,may,98,1,-1,0,unknown,no
technician,divorced,unknown,no,56,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
blue-collar,married,secondary,no,51,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
admin.,married,unknown,no,34,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
services,married,secondary,no,43,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
technician,married,tertiary,no,52,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
technician,single,secondary,no,33,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no
admin.,single,secondary,no,29,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no
services,married,secondary,no,34,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
blue-collar,married,secondary,no,31,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
services,married,secondary,no,55,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
management,married,unknown,no,55,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no
admin.,single,secondary,no,32,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no
technician,single,secondary,no,38,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
admin.,single,secondary,no,55,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no
unemployed,single,tertiary,no,28,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
blue-collar,married,secondary,no,23,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
technician,single,secondary,no,32,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no
services,single,unknown,no,43,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
blue-collar,married,secondary,no,32,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
blue-collar,married,secondary,no,46,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
housemaid,divorced,primary,no,53,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
self-employed,single,secondary,no,34,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
unemployed,married,tertiary,no,57,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
blue-collar,married,secondary,no,37,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no
blue-collar,married,secondary,no,59,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
services,married,secondary,no,33,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no
blue-collar,divorced,primary,no,56,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no
unemployed,married,secondary,no,48,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no
services,married,primary,no,43,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
blue-collar,married,primary,no,54,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
blue-collar,married,unknown,no,51,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
student,single,secondary,no,26,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
management,married,tertiary,no,40,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no
management,married,secondary,no,39,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
technician,married,primary,no,50,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
services,married,secondary,no,41,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
blue-collar,married,unknown,no,51,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
retired,divorced,secondary,no,60,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
blue-collar,married,secondary,no,52,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
blue-collar,married,secondary,no,48,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
services,married,unknown,no,48,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no
technician,single,tertiary,no,39,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
services,single,secondary,no,47,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
blue-collar,married,secondary,no,40,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
technician,married,secondary,no,45,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
admin.,single,secondary,no,26,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
management,married,tertiary,no,52,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
technician,married,secondary,no,54,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
admin.,married,tertiary,no,54,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
blue-collar,married,primary,no,50,0,no,no,unknown,5,may,233,3,-1,0,unknown,no
blue-collar,married,secondary,no,35,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
services,married,secondary,no,44,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no
entrepreneur,married,unknown,no,53,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no
retired,single,primary,no,35,434,no,no,unknown,5,may,138,1,-1,0,unknown,no
admin.,divorced,secondary,no,60,92,yes,no,unknown,5,may,130,1,-1,0,unknown,no
admin.,divorced,secondary,no,53,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
unemployed,married,secondary,no,48,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
technician,married,secondary,no,34,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no
services,married,secondary,no,54,214,yes,no,unknown,5,may,458,2,-1,0,unknown,no
management,married,secondary,no,51,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,no
services,married,tertiary,no,31,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
technician,divorced,secondary,no,35,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no
services,married,secondary,no,35,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
technician,married,secondary,no,38,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
admin.,married,tertiary,no,36,211,yes,no,unknown,5,may,146,2,-1,0,unknown,no
retired,married,primary,no,58,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no
services,divorced,unknown,no,40,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
management,married,secondary,no,54,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
blue-collar,single,secondary,no,34,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no
management,single,tertiary,no,31,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
retired,married,secondary,no,51,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
management,married,tertiary,no,33,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no
management,married,tertiary,no,55,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
admin.,married,secondary,no,42,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
blue-collar,married,secondary,no,34,243,yes,no,unknown,5,may,291,1,-1,0,unknown,no
blue-collar,single,secondary,no,33,307,yes,no,unknown,5,may,309,2,-1,0,unknown,no
services,married,secondary,no,38,155,yes,no,unknown,5,may,248,1,-1,0,unknown,no
technician,divorced,tertiary,no,50,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
management,married,tertiary,no,43,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no
blue-collar,divorced,primary,no,61,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no
admin.,married,secondary,no,47,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
self-employed,married,tertiary,no,48,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
blue-collar,married,secondary,no,44,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no
student,single,unknown,no,35,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no
services,married,secondary,no,35,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
services,married,secondary,no,50,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
management,married,tertiary,no,41,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
management,married,tertiary,no,41,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
services,single,unknown,no,39,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no
retired,married,secondary,no,42,56,yes,no,unknown,5,may,215,1,-1,0,unknown,no
blue-collar,married,secondary,no,38,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,no
retired,married,secondary,no,53,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no
housemaid,divorced,primary,no,59,195,no,no,unknown,5,may,366,2,-1,0,unknown,no
services,married,secondary,no,36,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no
blue-collar,married,primary,no,54,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,no
technician,married,tertiary,no,40,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no
unknown,married,unknown,no,47,28,no,no,unknown,5,may,338,2,-1,0,unknown,no
unemployed,married,unknown,no,53,13,no,no,unknown,5,may,410,3,-1,0,unknown,no
housemaid,married,primary,no,46,965,no,no,unknown,5,may,177,1,-1,0,unknown,no
management,married,tertiary,no,39,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
unemployed,married,secondary,no,40,219,yes,no,unknown,5,may,357,1,-1,0,unknown,no
blue-collar,married,primary,no,28,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no
entrepreneur,divorced,secondary,no,35,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no
retired,married,secondary,no,55,0,no,yes,unknown,5,may,136,1,-1,0,unknown,no
technician,divorced,unknown,no,43,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,no
blue-collar,married,primary,no,48,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no
management,married,unknown,no,58,1065,yes,no,unknown,5,may,213,3,-1,0,unknown,no
management,single,tertiary,no,33,34,yes,no,unknown,5,may,27,1,-1,0,unknown,no
blue-collar,married,unknown,no,36,1033,no,no,unknown,5,may,238,2,-1,0,unknown,no
services,divorced,secondary,no,53,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,no
blue-collar,married,primary,no,47,-12,yes,no,unknown,5,may,18,1,-1,0,unknown,no
services,married,secondary,no,31,388,yes,no,unknown,5,may,730,2,-1,0,unknown,no
entrepreneur,married,secondary,no,57,294,yes,no,unknown,5,may,746,2,-1,0,unknown,no
blue-collar,married,unknown,no,53,1827,no,no,unknown,5,may,121,1,-1,0,unknown,no
blue-collar,married,primary,no,55,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
blue-collar,married,primary,no,45,25,yes,no,unknown,5,may,40,1,-1,0,unknown,no
admin.,divorced,secondary,no,53,315,yes,no,unknown,5,may,181,2,-1,0,unknown,no
blue-collar,married,primary,no,37,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
admin.,divorced,secondary,no,44,66,yes,no,unknown,5,may,206,1,-1,0,unknown,no
blue-collar,divorced,primary,no,49,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,no
technician,married,secondary,no,46,349,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
entrepreneur,married,unknown,no,43,100,yes,no,unknown,5,may,702,1,-1,0,unknown,no
admin.,married,secondary,no,38,0,no,no,unknown,5,may,151,1,-1,0,unknown,no
technician,married,secondary,no,43,434,yes,no,unknown,5,may,117,1,-1,0,unknown,no
management,married,tertiary,no,49,3237,yes,no,unknown,5,may,232,3,-1,0,unknown,no
management,married,unknown,no,42,275,no,no,unknown,5,may,408,2,-1,0,unknown,no
blue-collar,single,secondary,no,22,0,yes,no,unknown,5,may,179,2,-1,0,unknown,no
management,married,tertiary,no,40,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no
blue-collar,married,secondary,no,39,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no
services,married,secondary,no,51,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,no
admin.,married,secondary,no,49,428,yes,no,unknown,5,may,50,1,-1,0,unknown,no
blue-collar,married,secondary,no,53,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
services,single,secondary,no,34,0,yes,no,unknown,5,may,142,1,-1,0,unknown,no
technician,divorced,secondary,no,33,140,yes,no,unknown,5,may,227,1,-1,0,unknown,no
management,single,tertiary,no,50,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
blue-collar,married,primary,no,39,279,yes,no,unknown,5,may,361,1,-1,0,unknown,no
entrepreneur,divorced,secondary,no,59,901,yes,no,unknown,5,may,73,3,-1,0,unknown,no
technician,single,secondary,no,30,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,no
services,married,secondary,no,36,143,yes,yes,unknown,5,may,350,1,-1,0,unknown,no
blue-collar,married,secondary,no,40,475,yes,no,unknown,5,may,332,2,-1,0,unknown,no
blue-collar,married,secondary,no,53,70,yes,no,unknown,5,may,611,2,-1,0,unknown,no
management,single,tertiary,no,34,318,yes,no,unknown,5,may,113,2,-1,0,unknown,no
technician,married,secondary,no,37,275,yes,no,unknown,5,may,132,1,-1,0,unknown,no
management,divorced,tertiary,no,42,742,yes,no,unknown,5,may,58,3,-1,0,unknown,no
entrepreneur,married,primary,no,41,236,yes,no,unknown,5,may,151,1,-1,0,unknown,no
student,single,tertiary,no,30,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no
management,single,tertiary,no,37,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no
admin.,divorced,secondary,no,39,-349,yes,no,unknown,5,may,611,2,-1,0,unknown,no
blue-collar,married,primary,no,41,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no
blue-collar,married,primary,no,40,0,yes,no,unknown,5,may,463,1,-1,0,unknown,no
management,single,tertiary,no,42,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
blue-collar,divorced,primary,no,40,0,yes,no,unknown,5,may,962,1,-1,0,unknown,no
technician,married,secondary,no,57,1078,yes,no,unknown,5,may,10,4,-1,0,unknown,no
entrepreneur,divorced,secondary,no,56,155,no,no,unknown,5,may,118,3,-1,0,unknown,no
admin.,married,secondary,no,37,190,yes,no,unknown,5,may,92,2,-1,0,unknown,no
retired,married,secondary,no,59,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no
services,divorced,secondary,no,39,-185,yes,no,unknown,5,may,189,3,-1,0,unknown,no
services,married,secondary,no,49,47,no,no,unknown,5,may,234,2,-1,0,unknown,no
services,single,secondary,no,38,570,yes,no,unknown,5,may,75,2,-1,0,unknown,no
self-employed,married,tertiary,no,36,19,no,no,unknown,5,may,189,2,-1,0,unknown,no
blue-collar,married,primary,no,50,61,yes,no,unknown,5,may,621,3,-1,0,unknown,no
admin.,married,secondary,no,41,-62,yes,yes,unknown,5,may,55,2,-1,0,unknown,no
technician,married,tertiary,no,54,258,no,no,unknown,5,may,310,4,-1,0,unknown,no
blue-collar,married,primary,no,58,76,yes,no,unknown,5,may,156,2,-1,0,unknown,no
blue-collar,single,secondary,no,30,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
admin.,single,secondary,no,33,352,yes,no,unknown,5,may,225,2,-1,0,unknown,no
admin.,married,secondary,no,47,368,yes,no,unknown,5,may,125,2,-1,0,unknown,no
technician,single,tertiary,no,50,339,yes,no,unknown,5,may,2,3,-1,0,unknown,no
blue-collar,married,secondary,no,32,1331,yes,no,unknown,5,may,286,2,-1,0,unknown,no
self-employed,married,secondary,no,40,672,yes,no,unknown,5,may,164,2,-1,0,unknown,no
management,married,tertiary,no,37,58,yes,no,unknown,5,may,98,2,-1,0,unknown,no
technician,single,unknown,no,54,447,yes,no,unknown,5,may,742,2,-1,0,unknown,no
student,single,secondary,no,24,423,yes,no,unknown,5,may,226,3,-1,0,unknown,no
management,married,tertiary,no,54,0,no,no,unknown,5,may,120,2,-1,0,unknown,no
technician,married,secondary,no,34,19,yes,no,unknown,5,may,362,4,-1,0,unknown,no
technician,divorced,primary,no,56,13,yes,no,unknown,5,may,357,2,-1,0,unknown,no
blue-collar,single,secondary,no,31,3,yes,no,unknown,5,may,200,2,-1,0,unknown,no
student,single,secondary,no,24,82,yes,no,unknown,5,may,204,2,-1,0,unknown,no
blue-collar,divorced,primary,no,42,28,yes,no,unknown,5,may,126,3,-1,0,unknown,no
technician,married,secondary,no,57,792,yes,no,unknown,5,may,65,2,-1,0,unknown,no
blue-collar,married,unknown,no,42,408,yes,no,unknown,5,may,107,2,-1,0,unknown,no
admin.,married,secondary,no,51,531,yes,no,unknown,5,may,267,2,-1,0,unknown,no
retired,married,secondary,no,57,211,yes,no,unknown,5,may,248,2,-1,0,unknown,no
services,single,secondary,no,36,62,yes,no,unknown,5,may,215,2,-1,0,unknown,no
services,married,unknown,no,53,257,yes,no,unknown,5,may,209,2,-1,0,unknown,no
technician,married,secondary,no,50,1234,yes,no,unknown,5,may,205,2,-1,0,unknown,no
management,married,tertiary,no,54,313,yes,no,unknown,5,may,83,2,-1,0,unknown,no
blue-collar,married,secondary,no,55,89,yes,no,unknown,5,may,106,3,-1,0,unknown,no
blue-collar,married,secondary,no,44,129,yes,yes,unknown,5,may,189,2,-1,0,unknown,no
management,married,unknown,no,43,0,yes,no,unknown,5,may,105,2,-1,0,unknown,no
admin.,married,secondary,no,56,353,yes,no,unknown,5,may,106,2,-1,0,unknown,no
technician,married,unknown,no,54,851,yes,no,unknown,5,may,108,2,-1,0,unknown,no
services,divorced,primary,no,55,96,yes,yes,unknown,5,may,311,2,-1,0,unknown,no
